22.01.2025 23:41:00 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <2811.360107, 206.417267, 5331.467285>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <2828.580322, 205.582123, 5315.658691>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <2792.545898, 206.325607, 5331.479492>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <5820.510254, 319.322571, 8652.556641>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <5826.153320, 319.384186, 8645.631836>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <4500.900391, 226.389450, 4498.413574>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <3606.931152, 9.168411, 2518.523682>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <3594.177246, 8.207091, 2497.535889>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <3584.134033, 9.845835, 2538.774414>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <5883.965820, 270.244141, 10306.635742>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <5891.261719, 269.934204, 10309.531250>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <7612.600586, 206.635696, 5084.701660>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <7599.867676, 207.016144, 5079.570313>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <7630.334961, 207.444824, 5093.209473>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <7636.144043, 205.243362, 5081.380371>
22.01.2025 23:42:37 [Dayz-Dog] Spawned Wild Dog at <7608.362793, 205.184921, 5073.836426>
22.01.2025 23:49:19 [Dayz-Dog] Player Tonby tamed dog at pos <7404.661621, 217.145386, 5161.267578>
22.01.2025 23:51:51 [Dayz-Dog] Dog of Tonby has died
22.01.2025 23:51:51 [Dayz-Dog] Dog of Tonby has died
23.01.2025 08:48:36 [Dayz-Dog] 'DayzDog.json' found, loading existing config
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5740.830078, 151.235718, 4895.083496>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5735.570313, 158.124420, 4916.978516>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5719.148438, 152.871552, 4897.214844>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <4675.912109, 284.664734, 6283.440918>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <4663.412109, 284.364166, 6305.217285>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <4659.004883, 285.734863, 6266.128906>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <4665.239258, 285.032074, 6283.063965>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5906.223633, 267.928040, 10316.302734>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5894.114258, 270.073608, 10319.749023>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5890.974121, 269.537537, 10294.476563>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5926.475586, 268.016754, 10312.963867>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <5910.827637, 268.702209, 10301.624023>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <12937.697266, 12.282618, 8236.659180>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <12958.650391, 11.155110, 8226.587891>
23.01.2025 08:49:59 [Dayz-Dog] Spawned Wild Dog at <12953.107422, 12.138872, 8231.895508>
23.01.2025 09:08:21 [Dayz-Dog] 'DayzDog.json' found, loading existing config
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <1692.757202, 172.915695, 5039.725586>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <1671.601685, 172.489975, 5038.540527>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <1712.385620, 172.829498, 5038.095703>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <1702.834229, 172.647278, 5047.370605>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <4836.511719, 474.100006, 15192.035156>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <4813.765137, 474.414764, 15192.578125>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <4822.890625, 474.100006, 15180.996094>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <9663.920898, 210.174484, 6535.362793>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <8088.888672, 254.579224, 10928.901367>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <8069.638184, 252.616394, 10931.598633>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <8085.572754, 255.467300, 10936.952148>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <6874.017578, 405.419586, 11412.702148>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <6881.877441, 404.949341, 11391.673828>
23.01.2025 09:09:23 [Dayz-Dog] Spawned Wild Dog at <6881.861328, 405.700012, 11400.596680>
23.01.2025 09:31:44 [Dayz-Dog] 'DayzDog.json' found, loading existing config
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <147.391830, 389.873779, 12580.755859>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <159.118149, 392.137726, 12603.786133>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <5751.187012, 319.707367, 8777.277344>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <13597.726563, 42.200447, 2907.831543>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <13596.914063, 42.541817, 2923.220947>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <13615.098633, 43.472023, 2921.053467>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <8480.384766, 398.996857, 15116.309570>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <8485.255859, 404.673798, 15138.233398>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <8487.437500, 394.557190, 15103.216797>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <9214.289063, 215.910248, 3737.315430>
23.01.2025 09:32:40 [Dayz-Dog] Spawned Wild Dog at <9233.715820, 213.101257, 3746.334229>
23.01.2025 15:37:26 [Dayz-Dog] 'DayzDog.json' found, loading existing config
23.01.2025 15:39:00 [Dayz-Dog] Spawned Wild Dog at <3172.981445, 314.126801, 7748.279785>
23.01.2025 15:39:00 [Dayz-Dog] Spawned Wild Dog at <3191.555664, 315.988678, 7734.842285>
23.01.2025 15:39:00 [Dayz-Dog] Spawned Wild Dog at <12016.039063, 6.124906, 3528.110596>
23.01.2025 15:39:00 [Dayz-Dog] Spawned Wild Dog at <4578.545898, 317.564789, 8178.365234>
23.01.2025 15:39:00 [Dayz-Dog] Spawned Wild Dog at <4592.258789, 318.011749, 8169.185059>
23.01.2025 15:39:00 [Dayz-Dog] Spawned Wild Dog at <5935.490234, 149.837799, 4749.210449>
23.01.2025 15:39:00 [Dayz-Dog] Spawned Wild Dog at <5925.629395, 148.086472, 4740.714355>
23.01.2025 22:36:06 [Dayz-Dog] 'DayzDog.json' found, loading existing config
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4957.197266, 321.170807, 5606.884277>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4935.236328, 321.799011, 5586.045898>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4976.765625, 320.447479, 5626.176270>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4945.226563, 321.500000, 5612.375488>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <3058.233643, 304.668610, 7944.913574>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <3073.228516, 304.347992, 7955.985352>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <13334.899414, 6.453897, 6628.467285>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4926.981934, 450.235413, 14825.496094>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4945.066406, 450.299988, 14827.537109>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4933.101074, 435.557312, 14810.184570>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <4937.874023, 436.233948, 14812.029297>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <2614.205566, 19.993412, 1342.649658>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <2620.863281, 18.853596, 1346.332031>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <2624.001465, 20.494949, 1338.338745>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <2623.517822, 16.229239, 1356.003906>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <2607.400879, 20.833824, 1330.654541>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <13279.765625, 2.036168, 3776.839355>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <13267.820313, 1.667908, 3799.608887>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <13284.536133, 1.956998, 3786.587891>
23.01.2025 22:37:41 [Dayz-Dog] Spawned Wild Dog at <13270.461914, 2.273367, 3767.717041>
23.01.2025 22:49:19 [Dayz-Dog] 'DayzDog.json' found, loading existing config
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <10049.642578, 150.864853, 10401.097656>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <10071.087891, 148.890579, 10408.873047>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <10060.460938, 151.006393, 10394.119141>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <4966.088379, 169.821045, 12940.130859>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <4976.699219, 170.137451, 12955.466797>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8098.495605, 232.052765, 11077.847656>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8090.176758, 225.317642, 11098.285156>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8121.319336, 230.175537, 11093.015625>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8102.898926, 237.015594, 11061.074219>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <9072.776367, 225.167633, 3744.448730>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <9090.587891, 223.582703, 3729.703369>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <9063.811523, 225.449951, 3740.749023>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <5829.468750, 320.291473, 8692.684570>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <5812.192871, 319.718414, 8697.293945>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <5824.399414, 320.307343, 8702.496094>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8414.024414, 7.882349, 2799.578125>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8409.321289, 8.419370, 2811.621582>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8407.010742, 6.768979, 2793.200684>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <8432.812500, 10.923276, 2818.197754>
